class,status,representation,graph_nodes,configuration,limitations
Container,non_computational,primitive graph / uncovered,{},abstract class / parameter or module container,Not a standalone numerical operator; composition/parameter ownership is a host-language concern.
Conv1d,equivalent,SCAN,"{""SCAN"": 1, ""ROUTE"": 4, ""PERMUTE"": 4, ""RESHAPE"": 4, ""PROJECT"": 2, ""CONCAT"": 1, ""BROADCAST"": 1, ""ADD"": 1}","groups=2, stride=2, padding=1, kernel=3; transposed output_padding=1; lazy materialized","Only dense real kernels; padding_mode=zeros. No complex input, parametrization or lazy initialization semantics."
Conv2d,equivalent,SCAN,"{""SCAN"": 1, ""ROUTE"": 4, ""PERMUTE"": 4, ""RESHAPE"": 4, ""PROJECT"": 2, ""CONCAT"": 1, ""BROADCAST"": 1, ""ADD"": 1}","groups=2, stride=2, padding=1, kernel=3; transposed output_padding=1; lazy materialized","Only dense real kernels; padding_mode=zeros. No complex input, parametrization or lazy initialization semantics."
Conv3d,equivalent,SCAN,"{""SCAN"": 1, ""ROUTE"": 4, ""PERMUTE"": 4, ""RESHAPE"": 4, ""PROJECT"": 2, ""CONCAT"": 1, ""BROADCAST"": 1, ""ADD"": 1}","groups=2, stride=2, padding=1, kernel=3; transposed output_padding=1; lazy materialized","Only dense real kernels; padding_mode=zeros. No complex input, parametrization or lazy initialization semantics."
ConvTranspose1d,equivalent,primitive graph / uncovered,"{""PERMUTE"": 4, ""RESHAPE"": 6, ""ROUTE"": 6, ""PROJECT"": 2, ""CONCAT"": 1, ""BROADCAST"": 1, ""ADD"": 1}","groups=2, stride=2, padding=1, kernel=3; transposed output_padding=1; lazy materialized","Only dense real kernels; padding_mode=zeros. No complex input, parametrization or lazy initialization semantics."
ConvTranspose2d,equivalent,primitive graph / uncovered,"{""PERMUTE"": 4, ""RESHAPE"": 6, ""ROUTE"": 6, ""PROJECT"": 2, ""CONCAT"": 1, ""BROADCAST"": 1, ""ADD"": 1}","groups=2, stride=2, padding=1, kernel=3; transposed output_padding=1; lazy materialized","Only dense real kernels; padding_mode=zeros. No complex input, parametrization or lazy initialization semantics."
ConvTranspose3d,equivalent,primitive graph / uncovered,"{""PERMUTE"": 4, ""RESHAPE"": 6, ""ROUTE"": 6, ""PROJECT"": 2, ""CONCAT"": 1, ""BROADCAST"": 1, ""ADD"": 1}","groups=2, stride=2, padding=1, kernel=3; transposed output_padding=1; lazy materialized","Only dense real kernels; padding_mode=zeros. No complex input, parametrization or lazy initialization semantics."
CosineEmbeddingLoss,gap,primitive graph / uncovered,{},,Reference smoke only; no DSL-only lowering implemented for this loss (log/exp/norm/index/branch semantics must be specified).
CosineSimilarity,gap,primitive graph / uncovered,{},,No explicit sqrt/reciprocal/norm-power lowering; not implemented as a composition.
CrossEntropyLoss,gap,primitive graph / uncovered,{},,Reference smoke only; no DSL-only lowering implemented for this loss (log/exp/norm/index/branch semantics must be specified).
CrossMapLRN2d,gap,primitive graph / uncovered,{},,"No lowering for response normalization power/reciprocal; NORM is only LayerNorm, not a universal normalization callback."
DataParallel,equivalent,primitive graph / uncovered,"{""PERMUTE"": 1, ""PROJECT"": 1, ""BROADCAST"": 1, ""ADD"": 1}",CPU single-device wrapper only,No multi-device scatter/gather/communication tested.
Dropout,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 1}","eval() only, p=.3",Eval identity does not express training-time RNG or random mask sampling.
Dropout1d,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 1}","eval() only, p=.3",Eval identity does not express training-time RNG or random mask sampling.
Dropout2d,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 1}","eval() only, p=.3",Eval identity does not express training-time RNG or random mask sampling.
Dropout3d,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 1}","eval() only, p=.3",Eval identity does not express training-time RNG or random mask sampling.
ELU,gap,primitive graph / uncovered,{},,No exact lowering implemented: exp/log/reciprocal or value comparison/selection is outside NONLINEAR v0.1 modes. This is not an impossibility proof.
Embedding,equivalent,primitive graph / uncovered,"{""ROUTE"": 1}",dense gradients; 2D indices; no padding_idx/max_norm/frequency scaling/sparse gradients,"EmbeddingBag fixed equal-length bags only; parameter gradient checked, indices non-differentiable."
EmbeddingBag,equivalent,primitive graph / uncovered,"{""ROUTE"": 1, ""AGGREGATE"": 1}",dense gradients; 2D indices; no padding_idx/max_norm/frequency scaling/sparse gradients,"EmbeddingBag fixed equal-length bags only; parameter gradient checked, indices non-differentiable."
FeatureAlphaDropout,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 1}","eval() only, p=.3",Eval identity does not express training-time RNG or random mask sampling.
Flatten,equivalent,primitive graph / uncovered,"{""RESHAPE"": 1}",,
Fold,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""PERMUTE"": 2, ""MIX"": 1}",,
FractionalMaxPool2d,gap,primitive graph / uncovered,{},random pooling regions,RNG state/sampling is absent from the 18-function contract; regions supplied externally could be ROUTE + REDUCE.
FractionalMaxPool3d,gap,primitive graph / uncovered,{},random pooling regions,RNG state/sampling is absent from the 18-function contract; regions supplied externally could be ROUTE + REDUCE.
GELU,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 1}",default parameters; RReLU eval; GLU last dim,
GLU,equivalent,primitive graph / uncovered,"{""ROUTE"": 2, ""GATE"": 1}",default parameters; RReLU eval; GLU last dim,
GRU,equivalent,SCAN,"{""ROUTE"": 7, ""RESHAPE"": 2, ""SCAN"": 1, ""PERMUTE"": 2, ""PROJECT"": 2, ""BROADCAST"": 4, ""ADD"": 7, ""NONLINEAR"": 3, ""MUL"": 4}","one layer, one direction, T=3, no dropout or packed sequence","PackedSequence, projected LSTM, multi-layer/bidirectional combinations not included."
GRUCell,equivalent,primitive graph / uncovered,"{""PERMUTE"": 2, ""PROJECT"": 2, ""BROADCAST"": 4, ""ADD"": 7, ""ROUTE"": 6, ""NONLINEAR"": 3, ""MUL"": 4}",single step; nonzero state; bias=True,
GaussianNLLLoss,gap,primitive graph / uncovered,{},,Reference smoke only; no DSL-only lowering implemented for this loss (log/exp/norm/index/branch semantics must be specified).
GroupNorm,equivalent,primitive graph / uncovered,"{""RESHAPE"": 4, ""NORM"": 1, ""BROADCAST"": 2, ""MUL"": 1, ""ADD"": 1}",2 groups; affine=True,
Hardshrink,gap,primitive graph / uncovered,{},,No exact lowering implemented: exp/log/reciprocal or value comparison/selection is outside NONLINEAR v0.1 modes. This is not an impossibility proof.
Hardsigmoid,equivalent,primitive graph / uncovered,"{""BROADCAST"": 8, ""MUL"": 4, ""ADD"": 5, ""NONLINEAR"": 2}",default parameters; RReLU eval; GLU last dim,
Hardswish,equivalent,primitive graph / uncovered,"{""BROADCAST"": 8, ""MUL"": 5, ""ADD"": 5, ""NONLINEAR"": 2}",default parameters; RReLU eval; GLU last dim,
Hardtanh,equivalent,primitive graph / uncovered,"{""BROADCAST"": 6, ""MUL"": 3, ""ADD"": 4, ""NONLINEAR"": 2}",default parameters; RReLU eval; GLU last dim,
HingeEmbeddingLoss,equivalent,primitive graph / uncovered,"{""BROADCAST"": 6, ""ADD"": 4, ""MUL"": 5, ""NONLINEAR"": 1, ""REDUCE"": 1}","default reductions, valid labels; no class weights/ignore_index",Index-selection lowering can create quadratic intermediates; no sparse-gradient or ignored-label contract.
HuberLoss,equivalent,primitive graph / uncovered,"{""BROADCAST"": 6, ""MUL"": 7, ""ADD"": 4, ""NONLINEAR"": 3, ""REDUCE"": 1}",default mean reduction,
Identity,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 1}",default parameters; RReLU eval; GLU last dim,
InstanceNorm1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 4, ""BROADCAST"": 5, ""MUL"": 3, ""ADD"": 2}",eval(); fixed running buffers; affine=True; lazy materialized,"Only inference, no running-stat updates or distributed all-reduce. Train-mode outputs are tested separately."
InstanceNorm2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 4, ""BROADCAST"": 5, ""MUL"": 3, ""ADD"": 2}",eval(); fixed running buffers; affine=True; lazy materialized,"Only inference, no running-stat updates or distributed all-reduce. Train-mode outputs are tested separately."
InstanceNorm3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 4, ""BROADCAST"": 5, ""MUL"": 3, ""ADD"": 2}",eval(); fixed running buffers; affine=True; lazy materialized,"Only inference, no running-stat updates or distributed all-reduce. Train-mode outputs are tested separately."
KLDivLoss,gap,primitive graph / uncovered,{},,Reference smoke only; no DSL-only lowering implemented for this loss (log/exp/norm/index/branch semantics must be specified).
L1Loss,equivalent,primitive graph / uncovered,"{""BROADCAST"": 2, ""MUL"": 2, ""ADD"": 2, ""NONLINEAR"": 2, ""REDUCE"": 1}",default mean reduction,
LPPool1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 2, ""REDUCE"": 2, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,LPPool p=1 only; arbitrary p requires power/root support.
LPPool2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 4, ""REDUCE"": 4, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,LPPool p=1 only; arbitrary p requires power/root support.
LPPool3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 8, ""REDUCE"": 8, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,LPPool p=1 only; arbitrary p requires power/root support.
LSTM,equivalent,SCAN,"{""ROUTE"": 6, ""RESHAPE"": 4, ""SCAN"": 1, ""PERMUTE"": 2, ""PROJECT"": 2, ""BROADCAST"": 2, ""ADD"": 4, ""NONLINEAR"": 5, ""MUL"": 3}","one layer, one direction, T=3, no dropout or packed sequence","PackedSequence, projected LSTM, multi-layer/bidirectional combinations not included."
LSTMCell,equivalent,primitive graph / uncovered,"{""PERMUTE"": 2, ""PROJECT"": 2, ""BROADCAST"": 2, ""ADD"": 4, ""ROUTE"": 4, ""NONLINEAR"": 5, ""MUL"": 3}",single step; nonzero state; bias=True,
LayerNorm,equivalent,primitive graph / uncovered,"{""NORM"": 1}",two trailing normalized axes; eps=1e-5,"RMSNorm lowered using NORM([x,-x]) then selecting the first half; no new primitive."
LazyBatchNorm1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 4, ""BROADCAST"": 5, ""MUL"": 3, ""ADD"": 2}",eval(); fixed running buffers; affine=True; lazy materialized,"Only inference, no running-stat updates or distributed all-reduce. Train-mode outputs are tested separately."
LazyBatchNorm2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 4, ""BROADCAST"": 5, ""MUL"": 3, ""ADD"": 2}",eval(); fixed running buffers; affine=True; lazy materialized,"Only inference, no running-stat updates or distributed all-reduce. Train-mode outputs are tested separately."
LazyBatchNorm3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 4, ""BROADCAST"": 5, ""MUL"": 3, ""ADD"": 2}",eval(); fixed running buffers; affine=True; lazy materialized,"Only inference, no running-stat updates or distributed all-reduce. Train-mode outputs are tested separately."
LazyConv1d,equivalent,SCAN,"{""SCAN"": 1, ""ROUTE"": 4, ""PERMUTE"": 4, ""RESHAPE"": 4, ""PROJECT"": 2, ""CONCAT"": 1, ""BROADCAST"": 1, ""ADD"": 1}","groups=2, stride=2, padding=1, kernel=3; transposed output_padding=1; lazy materialized","Only dense real kernels; padding_mode=zeros. No complex input, parametrization or lazy initialization semantics."
LazyConv2d,equivalent,SCAN,"{""SCAN"": 1, ""ROUTE"": 4, ""PERMUTE"": 4, ""RESHAPE"": 4, ""PROJECT"": 2, ""CONCAT"": 1, ""BROADCAST"": 1, ""ADD"": 1}","groups=2, stride=2, padding=1, kernel=3; transposed output_padding=1; lazy materialized","Only dense real kernels; padding_mode=zeros. No complex input, parametrization or lazy initialization semantics."
LazyConv3d,equivalent,SCAN,"{""SCAN"": 1, ""ROUTE"": 4, ""PERMUTE"": 4, ""RESHAPE"": 4, ""PROJECT"": 2, ""CONCAT"": 1, ""BROADCAST"": 1, ""ADD"": 1}","groups=2, stride=2, padding=1, kernel=3; transposed output_padding=1; lazy materialized","Only dense real kernels; padding_mode=zeros. No complex input, parametrization or lazy initialization semantics."
LazyConvTranspose1d,equivalent,primitive graph / uncovered,"{""PERMUTE"": 4, ""RESHAPE"": 6, ""ROUTE"": 6, ""PROJECT"": 2, ""CONCAT"": 1, ""BROADCAST"": 1, ""ADD"": 1}","groups=2, stride=2, padding=1, kernel=3; transposed output_padding=1; lazy materialized","Only dense real kernels; padding_mode=zeros. No complex input, parametrization or lazy initialization semantics."
LazyConvTranspose2d,equivalent,primitive graph / uncovered,"{""PERMUTE"": 4, ""RESHAPE"": 6, ""ROUTE"": 6, ""PROJECT"": 2, ""CONCAT"": 1, ""BROADCAST"": 1, ""ADD"": 1}","groups=2, stride=2, padding=1, kernel=3; transposed output_padding=1; lazy materialized","Only dense real kernels; padding_mode=zeros. No complex input, parametrization or lazy initialization semantics."
LazyConvTranspose3d,equivalent,primitive graph / uncovered,"{""PERMUTE"": 4, ""RESHAPE"": 6, ""ROUTE"": 6, ""PROJECT"": 2, ""CONCAT"": 1, ""BROADCAST"": 1, ""ADD"": 1}","groups=2, stride=2, padding=1, kernel=3; transposed output_padding=1; lazy materialized","Only dense real kernels; padding_mode=zeros. No complex input, parametrization or lazy initialization semantics."
LazyInstanceNorm1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 4, ""BROADCAST"": 5, ""MUL"": 3, ""ADD"": 2}",eval(); fixed running buffers; affine=True; lazy materialized,"Only inference, no running-stat updates or distributed all-reduce. Train-mode outputs are tested separately."
LazyInstanceNorm2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 4, ""BROADCAST"": 5, ""MUL"": 3, ""ADD"": 2}",eval(); fixed running buffers; affine=True; lazy materialized,"Only inference, no running-stat updates or distributed all-reduce. Train-mode outputs are tested separately."
LazyInstanceNorm3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 4, ""BROADCAST"": 5, ""MUL"": 3, ""ADD"": 2}",eval(); fixed running buffers; affine=True; lazy materialized,"Only inference, no running-stat updates or distributed all-reduce. Train-mode outputs are tested separately."
LazyLinear,equivalent,primitive graph / uncovered,"{""PERMUTE"": 1, ""PROJECT"": 1, ""BROADCAST"": 1, ""ADD"": 1}",bias=True; lazy tested after materialization,
LeakyReLU,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 2, ""BROADCAST"": 3, ""MUL"": 3, ""ADD"": 1}",default parameters; RReLU eval; GLU last dim,
Linear,equivalent,primitive graph / uncovered,"{""PERMUTE"": 1, ""PROJECT"": 1, ""BROADCAST"": 1, ""ADD"": 1}",bias=True; lazy tested after materialization,
LinearCrossEntropyLoss,gap,primitive graph / uncovered,{},,Fused loss with log-softmax/NLL; no logarithm lowering in v0.1.
LocalResponseNorm,gap,primitive graph / uncovered,{},,"No lowering for response normalization power/reciprocal; NORM is only LayerNorm, not a universal normalization callback."
LogSigmoid,gap,primitive graph / uncovered,{},,No exact lowering implemented: exp/log/reciprocal or value comparison/selection is outside NONLINEAR v0.1 modes. This is not an impossibility proof.
LogSoftmax,gap,primitive graph / uncovered,{},,No exact lowering implemented: exp/log/reciprocal or value comparison/selection is outside NONLINEAR v0.1 modes. This is not an impossibility proof.
MSELoss,equivalent,primitive graph / uncovered,"{""BROADCAST"": 1, ""MUL"": 2, ""ADD"": 1, ""REDUCE"": 1}",default mean reduction,
MarginRankingLoss,equivalent,primitive graph / uncovered,"{""BROADCAST"": 3, ""MUL"": 3, ""ADD"": 2, ""NONLINEAR"": 1, ""REDUCE"": 1}",,
MaxPool1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 2, ""REDUCE"": 2, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,Max values only; argmax indices and tie-gradient semantics are not covered.
MaxPool2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 4, ""REDUCE"": 4, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,Max values only; argmax indices and tie-gradient semantics are not covered.
MaxPool3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""ROUTE"": 8, ""REDUCE"": 8, ""CONCAT"": 1}",small dense input; no ceil_mode; output_size=2 or kernel=2/stride=2,Max values only; argmax indices and tie-gradient semantics are not covered.
MaxUnpool1d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 3, ""ROUTE"": 1, ""BROADCAST"": 1, ""MUL"": 1, ""REDUCE"": 1}",non-overlapping pool-produced indices; one-hot incidence via ROUTE,"Only unique destination indices, no duplicate-write semantics; dense one-hot expansion is not an efficient implementation."
MaxUnpool2d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 3, ""ROUTE"": 1, ""BROADCAST"": 1, ""MUL"": 1, ""REDUCE"": 1}",non-overlapping pool-produced indices; one-hot incidence via ROUTE,"Only unique destination indices, no duplicate-write semantics; dense one-hot expansion is not an efficient implementation."
MaxUnpool3d,equivalent,primitive graph / uncovered,"{""RESHAPE"": 3, ""ROUTE"": 1, ""BROADCAST"": 1, ""MUL"": 1, ""REDUCE"": 1}",non-overlapping pool-produced indices; one-hot incidence via ROUTE,"Only unique destination indices, no duplicate-write semantics; dense one-hot expansion is not an efficient implementation."
Mish,gap,primitive graph / uncovered,{},,No exact lowering implemented: exp/log/reciprocal or value comparison/selection is outside NONLINEAR v0.1 modes. This is not an impossibility proof.
Module,non_computational,primitive graph / uncovered,{},abstract class / parameter or module container,Not a standalone numerical operator; composition/parameter ownership is a host-language concern.
ModuleDict,non_computational,primitive graph / uncovered,{},abstract class / parameter or module container,Not a standalone numerical operator; composition/parameter ownership is a host-language concern.
ModuleList,non_computational,primitive graph / uncovered,{},abstract class / parameter or module container,Not a standalone numerical operator; composition/parameter ownership is a host-language concern.
MultiLabelMarginLoss,equivalent,primitive graph / uncovered,"{""ROUTE"": 1, ""AGGREGATE"": 1, ""RESHAPE"": 4, ""BROADCAST"": 9, ""MUL"": 5, ""ADD"": 3, ""NONLINEAR"": 1, ""REDUCE"": 2}","default reductions, valid labels; no class weights/ignore_index",Index-selection lowering can create quadratic intermediates; no sparse-gradient or ignored-label contract.
MultiLabelSoftMarginLoss,gap,primitive graph / uncovered,{},,Reference smoke only; no DSL-only lowering implemented for this loss (log/exp/norm/index/branch semantics must be specified).
MultiMarginLoss,equivalent,primitive graph / uncovered,"{""PERMUTE"": 1, ""ROUTE"": 2, ""RESHAPE"": 2, ""BROADCAST"": 6, ""MUL"": 3, ""ADD"": 3, ""NONLINEAR"": 1, ""REDUCE"": 2}","default reductions, valid labels; no class weights/ignore_index",Index-selection lowering can create quadratic intermediates; no sparse-gradient or ignored-label contract.
MultiheadAttention,equivalent,primitive graph / uncovered,"{""ROUTE"": 6, ""PERMUTE"": 8, ""PROJECT"": 4, ""BROADCAST"": 5, ""ADD"": 4, ""RESHAPE"": 4, ""COMPARE"": 1, ""MUL"": 1, ""NORMALIZE"": 1, ""MIX"": 1, ""REDUCE"": 1}","2 heads, self-attention, batch_first, dropout=0","No masks, separate kdim/vdim, bias_kv, zero-attention or training dropout in this fixture."
NLLLoss,equivalent,primitive graph / uncovered,"{""PERMUTE"": 2, ""RESHAPE"": 4, ""ROUTE"": 2, ""BROADCAST"": 1, ""MUL"": 1, ""REDUCE"": 1}","default reductions, valid labels; no class weights/ignore_index",Index-selection lowering can create quadratic intermediates; no sparse-gradient or ignored-label contract.
NLLLoss2d,equivalent,primitive graph / uncovered,"{""PERMUTE"": 2, ""RESHAPE"": 4, ""ROUTE"": 2, ""BROADCAST"": 1, ""MUL"": 1, ""REDUCE"": 1}","default reductions, valid labels; no class weights/ignore_index",Index-selection lowering can create quadratic intermediates; no sparse-gradient or ignored-label contract.
PReLU,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 2, ""BROADCAST"": 3, ""MUL"": 3, ""RESHAPE"": 1, ""ADD"": 1}",default parameters; RReLU eval; GLU last dim,
PairwiseDistance,gap,primitive graph / uncovered,{},,No explicit sqrt/reciprocal/norm-power lowering; not implemented as a composition.
ParameterDict,non_computational,primitive graph / uncovered,{},abstract class / parameter or module container,Not a standalone numerical operator; composition/parameter ownership is a host-language concern.
ParameterList,non_computational,primitive graph / uncovered,{},abstract class / parameter or module container,Not a standalone numerical operator; composition/parameter ownership is a host-language concern.
PixelShuffle,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""PERMUTE"": 1}",,
PixelUnshuffle,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""PERMUTE"": 1}",,
PoissonNLLLoss,gap,primitive graph / uncovered,{},,Reference smoke only; no DSL-only lowering implemented for this loss (log/exp/norm/index/branch semantics must be specified).
RMSNorm,equivalent,primitive graph / uncovered,"{""RESHAPE"": 2, ""BROADCAST"": 2, ""MUL"": 2, ""CONCAT"": 1, ""NORM"": 1, ""ROUTE"": 1}",two trailing normalized axes; eps=1e-5,"RMSNorm lowered using NORM([x,-x]) then selecting the first half; no new primitive."
RNN,equivalent,SCAN,"{""ROUTE"": 1, ""RESHAPE"": 2, ""SCAN"": 1, ""PERMUTE"": 2, ""PROJECT"": 2, ""BROADCAST"": 2, ""ADD"": 3, ""NONLINEAR"": 1}","one layer, one direction, T=3, no dropout or packed sequence","PackedSequence, projected LSTM, multi-layer/bidirectional combinations not included."
RNNBase,non_computational,primitive graph / uncovered,{},abstract class / parameter or module container,Not a standalone numerical operator; composition/parameter ownership is a host-language concern.
RNNCell,equivalent,primitive graph / uncovered,"{""PERMUTE"": 2, ""PROJECT"": 2, ""BROADCAST"": 2, ""ADD"": 3, ""NONLINEAR"": 1}",single step; nonzero state; bias=True,
RNNCellBase,non_computational,primitive graph / uncovered,{},abstract class / parameter or module container,Not a standalone numerical operator; composition/parameter ownership is a host-language concern.
RReLU,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 2, ""BROADCAST"": 3, ""MUL"": 3, ""ADD"": 1}",default parameters; RReLU eval; GLU last dim,RReLU random training slopes not covered.
ReLU,equivalent,primitive graph / uncovered,"{""NONLINEAR"": 1}",default parameters; RReLU eval; GLU last dim,
